001-TIME     ,002-nPartIn-Spec-001     ,003-nPartOut-Spec-001     ,004-EkinIn-001     ,005-EkinOut-001     ,006-Ekin-001      
    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    6.00000000000000E-001,    1.80000000000000E+004,    1.21370000000000E+004,    8.09999999999951E-022,    5.46164999999967E-022,    2.63835000000009E-022 
